RUTA;DISTRIBUIDORA;GRUPO;DIVISION;PAIS;CANAL;TIPO ZONA
8.8.43;Bocadeli Comayagua;GRUPO 05;HN Sur;Honduras;Preferencial;Rural
8.8.44;Bocadeli Comayagua;GRUPO 08;HN Sur;Honduras;Preferencial;Urbano
8.8.45;Bocadeli Comayagua;GRUPO 08;HN Sur;Honduras;Preferencial;Urbano
8.8.47;Bocadeli Comayagua;GRUPO 08;HN Sur;Honduras;Preferencial;Rural
8.9.01;Bocadeli Tegucigalpa;GRUPO 04;HN Sur;Honduras;Supermercados;Urbano
8.9.02;Bocadeli Tegucigalpa;GRUPO 04;HN Sur;Honduras;Supermercados;Urbano
8.9.03;Bocadeli Tegucigalpa;GRUPO 04;HN Sur;Honduras;Dedicada;Urbano
8.9.04;Bocadeli Tegucigalpa;GRUPO 04;HN Sur;Honduras;Dedicada;Urbano
8.9.05;Bocadeli Olancho;GRUPO 03;HN Sur;Honduras;Dedicada;Contorno
8.9.06;Bocadeli Danli;GRUPO 02;HN Sur;Honduras;Dedicada;Contorno
8.9.07;Bocadeli Choluteca;GRUPO 01;HN Sur;Honduras;Dedicada;Contorno
8.9.08;Bocadeli Comayagua;GRUPO 08;HN Sur;Honduras;Dedicada;Contorno
8.9.09;Bocadeli Comayagua;GRUPO 05;HN Sur;Honduras;Dedicada;Contorno
8.9.10;Bocadeli Danli;GRUPO 02;HN Sur;Honduras;Dedicada;Contorno
8.9.11;Bocadeli Olancho;GRUPO 03;HN Sur;Honduras;Dedicada;Foraneo
8.9.12;Bocadeli Choluteca;GRUPO 10;HN Sur;Honduras;Dedicada;Foraneo
